zone_residence,zone_workplace,mode,residence,workplace,number,distance,time
bristol,other,driving,E02003021,E02003235,1,2383,397
bristol,other,driving,E02003021,E02005684,3,1132,257
bristol,other,driving,E02003024,E02003112,5,9216,1110
bristol,other,passenger,E02003024,E02003112,2,9216,1110
bristol,other,driving,E02003024,W02000398,1,9942,1442
bristol,other,driving,E02003022,E02006660,2,1422,253
bristol,other,driving,E02003018,E02006652,2,257053,9964
bristol,other,driving,E02003023,E02003233,1,22574,1425
bristol,other,driving,E02003029,E02006645,2,24718,1672
bristol,other,driving,E02003017,E02003005,2,3811,605
bristol,other,driving,E02003022,E02003235,1,5014,752
bristol,other,driving,E02003017,E02003233,3,5289,675
bristol,other,passenger,E02003017,E02003233,1,5289,675
bristol,other,driving,E02003022,E02003069,5,2940,505
bristol,other,driving,E02003022,E02002993,2,1406,199
bristol,other,driving,E02003017,E02002986,3,22393,2381
bristol,other,driving,E02003017,E02002993,3,0,0
bristol,bristol,driving,E02003017,E02003060,4,2579,342
bristol,other,driving,E02003016,E02003004,5,4505,720
bristol,other,driving,E02003024,E02004625,2,10949,1507
bristol,other,passenger,E02003025,E02003233,1,9878,1344
bristol,other,driving,E02003020,E02002993,2,1335,265
bristol,other,driving,E02003021,E02003219,1,3158,557
bristol,other,driving,E02003021,E02003004,2,3693,586
bristol,other,passenger,E02003016,E02006660,1,3514,575
bristol,bristol,driving,E02003023,E02003060,2,5565,885
bristol,other,driving,E02003021,E02003005,3,2022,416
bristol,other,driving,E02003017,E02004672,4,35465,2466
bristol,other,driving,E02003024,E02004672,17,18773,1808
bristol,bristol,driving,E02003027,E02003039,7,24750,2660
bristol,other,driving,E02003024,E02003069,3,7980,1261
bristol,other,driving,E02003020,E02003109,1,2979,458
bristol,other,driving,E02003015,E02003005,1,2991,615
bristol,other,passenger,E02003015,E02003005,1,2991,615
bristol,other,driving,E02003018,E02006660,1,3857,484
bristol,other,driving,E02003020,E02003005,2,4366,713
bristol,bristol,driving,E02003019,E02003060,4,7808,1008
bristol,bristol,driving,E02003030,E02003039,3,24567,2460
bristol,bristol,passenger,E02003030,E02003039,1,24567,2460
bristol,other,driving,E02003015,E02003006,1,2579,398
bristol,other,driving,E02003020,E02005684,3,3588,607
bristol,other,driving,E02003015,E02003004,2,4687,803
bristol,bristol,driving,E02003015,E02003060,2,0,0
bristol,other,driving,E02003021,E02003233,3,7794,1039
bristol,other,driving,E02003015,E02003219,2,4127,756
bristol,other,driving,E02003019,E02003233,1,0,0
bristol,other,driving,E02003022,E02003004,2,6755,983
bristol,other,driving,E02003015,E02003109,1,3726,549
bristol,other,driving,E02003023,W02000350,1,15046,1653
bristol,bristol,driving,E02003015,E02003039,4,27052,2923
bristol,bristol,passenger,E02003015,E02003039,1,27052,2923
bristol,other,driving,E02003018,E02003006,1,4201,535
bristol,other,driving,E02003018,E02003069,3,5046,651
bristol,bristol,driving,E02003024,E02003039,8,28100,2416
bristol,other,driving,E02003014,E02006660,1,5569,721
bristol,bristol,driving,E02003020,E02003051,1,8426,1265
bristol,other,driving,E02003014,E02003006,1,6333,810
bristol,bristol,passenger,E02003014,E02003051,1,11863,1603
bristol,other,driving,E02003019,E02005684,2,7780,1037
bristol,bristol,driving,E02003014,E02003060,1,7108,940
bristol,other,driving,E02003017,W02000398,2,1293,259
bristol,other,driving,E02003019,E02003069,3,7295,943
bristol,other,driving,E02003014,E02003233,1,2420,348
bristol,other,driving,E02003019,E02003112,1,6639,774
bristol,other,passenger,E02003019,E02003112,1,6639,774
bristol,other,driving,E02003018,E02003005,3,5467,763
bristol,bristol,driving,E02003014,E02003039,2,31640,2804
bristol,other,driving,E02003017,E02004625,1,2300,324
bristol,other,driving,E02003017,E02006660,2,2482,351
bristol,other,driving,E02003024,E02002986,7,17639,1786
bristol,other,passenger,E02003024,E02002986,1,17639,1786
bristol,other,driving,E02003017,E02003069,1,3754,551
bristol,other,driving,E02003017,E02003003,2,2574,395
bristol,other,driving,E02003013,E02002993,4,2420,321
bristol,other,driving,E02003013,E02003109,2,2558,316
bristol,other,passenger,E02003013,E02003109,1,2558,316
bristol,other,driving,E02003018,E02003219,2,6329,921
bristol,other,driving,E02003021,E02004625,4,4805,687
bristol,other,driving,E02003012,E02006652,4,253365,9603
bristol,other,driving,E02003013,E02006652,3,255541,9795
bristol,bristol,driving,E02003018,E02003051,1,9870,1337
bristol,other,driving,E02003020,E02003112,1,2855,413
bristol,other,driving,E02003012,E02003005,3,6397,921
bristol,other,driving,E02003018,E02005684,2,5374,727
bristol,other,driving,E02003012,E02006660,2,4787,642
bristol,other,driving,E02003012,E02003004,3,8334,1227
bristol,bristol,driving,E02003019,E02003051,1,23002,1470
bristol,other,driving,E02003012,E02003006,2,4174,582
bristol,bristol,driving,E02003012,E02003051,2,9221,1154
bristol,other,driving,E02003016,E02003112,3,2376,339
bristol,other,driving,E02003012,E02003112,3,2598,302
bristol,other,driving,E02003012,E02006645,1,3551,516
bristol,bristol,driving,E02003012,E02003039,1,32345,3031
bristol,other,driving,E02003012,E02003233,2,5623,661
bristol,other,driving,E02003012,W02000398,2,3042,450
bristol,other,driving,E02003016,E02003104,1,0,0
bristol,other,driving,E02003012,E02002986,1,40113,2379
bristol,other,driving,E02003012,E02003109,1,0,0
bristol,bristol,driving,E02003012,E02003060,4,3697,495
bristol,other,driving,E02003016,E02003219,1,4075,671
bristol,bristol,driving,E02003016,E02003051,1,5796,773
bristol,other,driving,E02003017,E02003112,1,2256,313
bristol,other,driving,E02003017,E02005684,4,2921,446
bristol,other,passenger,E02003017,E02005684,1,2921,446
bristol,bristol,driving,E02003016,E02003060,1,1535,277
bristol,bristol,driving,E02003019,E02003055,3,23770,1476
bristol,other,driving,E02003016,E02002993,1,3409,486
bristol,bristol,driving,E02003017,E02003051,3,7091,1000
bristol,other,driving,E02003017,E02006645,1,4730,597
bristol,other,driving,E02003020,W02000350,1,17084,2144
bristol,other,driving,E02003015,E02004625,1,4723,671
bristol,other,driving,E02003016,E02003069,1,5032,826
bristol,other,driving,E02003015,E02006660,1,3089,542
bristol,other,driving,E02003015,E02003069,1,4607,794
bristol,other,driving,E02003036,E02006652,4,259691,10110
bristol,other,passenger,E02003036,E02006652,3,259691,10110
bristol,bristol,driving,E02003018,E02003055,1,10866,1582
bristol,bristol,passenger,E02003018,E02003055,1,10866,1582
bristol,other,taxi,E02003022,E02002986,1,21513,2351
bristol,other,driving,E02003022,E02002986,4,21513,2351
bristol,other,driving,E02003017,E02003004,2,6196,882
bristol,bristol,driving,E02003018,E02003060,3,5115,674
bristol,other,driving,E02003015,E02002993,1,2423,347
bristol,other,driving,E02003018,E02004672,3,43679,2639
bristol,other,driving,E02003015,E02005684,2,2101,456
bristol,other,driving,E02003016,E02006645,3,7663,997
bristol,other,driving,E02003016,E02005684,1,2139,438
bristol,other,driving,E02003013,E02003005,2,4813,823
bristol,other,driving,E02003013,E02003112,2,0,0
bristol,other,driving,E02003014,E02003069,4,6758,889
bristol,bristol,driving,E02003017,E02003039,1,30032,2745
bristol,bristol,driving,E02003015,E02003055,1,6579,1166
bristol,bristol,driving,E02003013,E02003060,2,1872,280
bristol,bristol,driving,E02003016,E02003055,1,8696,1000
bristol,other,driving,E02003012,E02002993,1,2727,372
bristol,other,driving,E02003012,E02004625,1,4127,570
bristol,other,driving,E02003014,E02003104,4,8325,1060
bristol,other,driving,E02003013,E02003006,2,3031,445
bristol,other,driving,E02003015,E02002986,4,21572,2390
bristol,other,driving,E02003012,E02003219,3,7258,1079
bristol,other,driving,E02003015,E02003104,3,1705,331
bristol,other,driving,E02003013,E02003219,1,5949,964
bristol,other,driving,E02003012,E02003104,1,4211,570
bristol,other,driving,E02003012,E02005684,2,5618,815
bristol,bristol,driving,E02003014,E02003055,1,24807,1623
bristol,other,driving,E02003015,E02006645,1,7182,971
bristol,other,passenger,E02003015,E02006645,1,7182,971
bristol,other,driving,E02003012,E02003069,4,6066,837
bristol,other,driving,E02003030,E02006652,3,257317,9771
bristol,other,driving,E02003018,W02000350,2,19373,2023
bristol,other,driving,E02003013,E02003233,1,6500,779
bristol,other,driving,E02003013,W02000350,1,23514,1906
bristol,other,driving,E02003015,W02000350,1,15428,1907
bristol,other,driving,E02003016,E02002986,3,25291,2209
bristol,other,driving,E02003013,E02003104,3,2386,355
bristol,bristol,driving,E02003016,E02003039,4,26869,2839
bristol,other,driving,E02003023,E02006652,2,255469,9899
bristol,other,driving,E02003029,E02006652,1,256341,9980
bristol,bristol,driving,E02003013,E02003039,2,31970,2993
bristol,other,driving,E02003014,E02003004,3,10967,1485
bristol,other,passenger,E02003014,E02003004,1,10967,1485
bristol,other,driving,E02003013,E02004672,1,34413,2322
bristol,other,driving,E02003022,E02005684,2,2104,367
bristol,other,driving,E02003034,E02006652,1,258127,9782
bristol,other,driving,E02003033,E02006652,1,260919,10202
bristol,other,driving,E02003032,E02006652,2,259192,10053
bristol,other,driving,E02003022,E02006652,6,255442,10104
bristol,other,driving,E02003017,E02006652,3,255486,9865
bristol,other,driving,E02003014,E02006652,1,260031,9913
bristol,other,driving,E02003013,E02006660,3,4435,637
bristol,other,driving,E02003016,E02006652,3,253429,9859
bristol,other,driving,E02003015,E02006652,1,253964,9945
bristol,other,driving,E02003021,E02006652,2,258510,9957
bristol,other,driving,E02003025,E02004655,1,2580,456
bristol,other,passenger,E02003015,E02004609,1,7182,971
bristol,bristol,driving,E02003013,E02003044,1,3031,445
bristol,other,driving,E02003021,E02004655,2,1542,290
bristol,other,driving,E02003037,E02003011,1,1396,293
bristol,other,driving,E02003037,E02004609,1,6433,823
bristol,other,driving,E02003037,E02006659,3,2151,374
bristol,other,passenger,E02003037,E02006659,1,2151,374
bristol,other,driving,E02003037,E02003223,1,6018,847
bristol,other,passenger,E02003036,E02006659,2,2239,328
bristol,other,taxi,E02003036,E02005863,11,7773,966
bristol,other,driving,E02003034,E02003223,2,7097,1126
bristol,other,driving,E02003034,E02003073,1,3326,457
bristol,other,passenger,E02003034,E02003073,1,3326,457
bristol,other,driving,E02003036,E02003002,1,19676,2133
bristol,other,driving,E02003036,E02004608,3,259691,10110
bristol,other,driving,E02003036,E02004609,1,7236,894
bristol,taunton,driving,E02003034,E02006104,2,4068,655
bristol,other,driving,E02003033,E02003073,2,6118,876
bristol,other,driving,E02003033,E02006659,2,1532,253
bristol,other,passenger,E02003033,E02006659,2,1532,253
bristol,taunton,driving,E02003033,E02006109,5,3577,498
bristol,other,driving,E02003033,E02004637,4,3852,540
bristol,other,driving,E02003033,E02004609,7,6528,818
bristol,bristol,driving,E02003033,E02003062,2,37811,2494
bristol,other,driving,E02003032,E02003000,3,5221,837
bristol,other,driving,E02003032,E02003096,2,3345,562
bristol,other,passenger,E02003032,E02003096,2,3345,562
bristol,other,driving,E02003031,E02000001,1,6628,1104
bristol,other,driving,E02003032,E02004608,2,259192,10053
bristol,other,driving,E02003031,E02003223,6,6047,864
bristol,other,passenger,E02003031,E02003223,1,6047,864
bristol,other,driving,E02003030,E02006659,1,5881,948
bristol,other,driving,E02003037,E02002995,2,4991,840
