zone_residence,zone_workplace,mode,number,distance,time
tiverton,highbridge_and_burnham,foot,0,61984,50514
weston-super-mare,wellington,foot,0,54563,44625
cullompton,highbridge_and_burnham,foot,0,59569,48402
taunton,weston-super-mare,foot,1,45543,37087
bridgwater,tiverton,foot,0,49034,40371
highbridge_and_burnham,wellington,foot,0,39100,31992
exeter,bridgwater,foot,0,66203,54198
wellington,weston-super-mare,foot,2,54563,44331
cullompton,bridgwater,foot,0,46619,37906
tiverton,bridgwater,foot,0,49034,40018
cullompton,weston-super-mare,foot,1,75032,61033
tiverton,weston-super-mare,foot,1,77447,63145
weston-super-mare,bristol,foot,48,32960,27009
bristol,bridgwater,foot,4,54883,44977
weston-super-mare,cullompton,foot,1,75032,61384
bridgwater,bristol,foot,4,54885,44914
wellington,exeter,foot,2,40519,33455
tiverton,bristol,foot,5,103608,84659
weston-super-mare,tiverton,foot,0,77447,63520
wellington,bristol,foot,2,80724,65845
highbridge_and_burnham,exeter,foot,1,79153,65067
cullompton,taunton,foot,2,29998,24354
bristol,weston-super-mare,foot,11,32960,26998
bridgwater,exeter,foot,1,66203,54551
bristol,taunton,foot,8,71704,58723
taunton,bristol,foot,3,71704,58601
exeter,highbridge_and_burnham,foot,1,79153,64694
exeter,weston-super-mare,foot,0,94616,77326
weston-super-mare,exeter,foot,0,94616,77700
bristol,wellington,foot,1,80724,66185
bristol,highbridge_and_burnham,foot,4,43712,35861
cullompton,bristol,foot,1,101193,82547
bristol,cullompton,foot,0,101193,82945
bristol,tiverton,foot,0,103608,85081
bristol,exeter,foot,9,120777,99260
exeter,bristol,foot,14,120777,98840
