zone_residence,zone_workplace,mode,number,distance,time
highbridge_and_burnham,bridgwater,bus,25,13613,2701
bridgwater,wellington,bus,1,31236,5372
wellington,bristol,bus,1,87720,6815
taunton,tiverton,bus,0,33901,3968
highbridge_and_burnham,bristol,bus,2,78273,8283
tiverton,cullompton,bus,8,28332,4089
highbridge_and_burnham,cullompton,bus,0,68561,8905
taunton,cullompton,bus,0,36469,5226
cullompton,bridgwater,bus,0,53729,5917
tiverton,bristol,bus,0,155659,13356
weston-super-mare,cullompton,bus,0,118125,10298
bridgwater,bristol,bus,1,64786,4431
wellington,weston-super-mare,bus,0,92790,9207
cullompton,highbridge_and_burnham,bus,0,67163,11289
cullompton,weston-super-mare,bus,0,116045,10420
weston-super-mare,bridgwater,bus,3,26833,3094
tiverton,exeter,bus,119,25621,3449
highbridge_and_burnham,taunton,bus,7,34194,5985
tiverton,weston-super-mare,bus,0,164122,17762
weston-super-mare,bristol,bus,135,33982,4824
exeter,tiverton,bus,22,25781,3436
weston-super-mare,tiverton,bus,0,79588,8078
taunton,bristol,bus,3,84582,7413
wellington,taunton,bus,152,11505,2440
weston-super-mare,wellington,bus,0,95091,9141
exeter,cullompton,bus,6,21296,2572
tiverton,taunton,bus,5,33724,4255
cullompton,taunton,bus,2,35804,3844
weston-super-mare,taunton,bus,2,45010,3490
weston-super-mare,exeter,bus,0,138599,12778
exeter,taunton,bus,2,52989,3324
wellington,highbridge_and_burnham,bus,1,42761,6369
exeter,bridgwater,bus,0,71994,4679
exeter,weston-super-mare,bus,0,136377,14005
bristol,bridgwater,bus,0,60082,7609
bristol,cullompton,bus,0,112628,8802
bristol,weston-super-mare,bus,15,33407,4263
bristol,tiverton,bus,0,136700,13595
bristol,highbridge_and_burnham,bus,2,51412,8303
bristol,wellington,bus,0,89571,7649
bristol,exeter,bus,5,129881,12093
exeter,highbridge_and_burnham,bus,0,83571,6273
bristol,taunton,bus,6,74984,3716
exeter,bristol,bus,5,127914,9599
exeter,exeter,taxi,104,0,0
exeter,exeter,driving,15272,0,0
exeter,exeter,passenger,2091,0,0
wellington,wellington,taxi,4,0,0
wellington,wellington,driving,1244,0,0
wellington,wellington,passenger,166,0,0
taunton,taunton,taxi,44,0,0
taunton,taunton,driving,8767,0,0
taunton,taunton,passenger,1167,0,0
weston-super-mare,weston-super-mare,taxi,153,0,0
weston-super-mare,weston-super-mare,driving,7794,0,0
weston-super-mare,weston-super-mare,passenger,998,0,0
bridgwater,bridgwater,taxi,31,0,0
bridgwater,bridgwater,driving,1695,0,0
bridgwater,bridgwater,passenger,231,0,0
cullompton,cullompton,taxi,0,0,0
cullompton,cullompton,driving,373,0,0
cullompton,cullompton,passenger,38,0,0
bristol,bristol,taxi,240,0,0
bristol,bristol,driving,51605,0,0
bristol,bristol,passenger,6173,0,0
tiverton,wellington,taxi,0,25771,1180
tiverton,wellington,driving,123,25771,1180
tiverton,wellington,passenger,9,25771,1180
tiverton,cullompton,taxi,0,10245,994
tiverton,cullompton,driving,214,10245,994
tiverton,cullompton,passenger,17,10245,994
cullompton,wellington,taxi,0,22657,1062
cullompton,wellington,driving,38,22657,1062
cullompton,wellington,passenger,3,22657,1062
wellington,taunton,taxi,2,9810,903
wellington,taunton,driving,1922,9810,903
wellington,taunton,passenger,152,9810,903
wellington,highbridge_and_burnham,taxi,0,42809,1708
wellington,highbridge_and_burnham,driving,18,42809,1708
wellington,highbridge_and_burnham,passenger,0,42809,1708
weston-super-mare,highbridge_and_burnham,taxi,0,17748,1323
weston-super-mare,highbridge_and_burnham,driving,402,17748,1323
weston-super-mare,highbridge_and_burnham,passenger,106,17748,1323
cullompton,tiverton,taxi,0,19044,1020
cullompton,tiverton,driving,217,19044,1020
cullompton,tiverton,passenger,17,19044,1020
highbridge_and_burnham,taunton,taxi,0,34669,1742
highbridge_and_burnham,taunton,driving,224,34669,1742
highbridge_and_burnham,taunton,passenger,20,34669,1742
exeter,tiverton,taxi,2,38872,1938
exeter,tiverton,driving,248,38872,1938
exeter,tiverton,passenger,13,38872,1938
highbridge_and_burnham,exeter,taxi,0,82087,3495
highbridge_and_burnham,exeter,driving,11,82087,3495
highbridge_and_burnham,exeter,passenger,0,82087,3495
weston-super-mare,tiverton,taxi,0,83879,3507
weston-super-mare,tiverton,driving,2,83879,3507
weston-super-mare,tiverton,passenger,0,83879,3507
wellington,tiverton,taxi,1,27399,1249
wellington,tiverton,driving,79,27399,1249
wellington,tiverton,passenger,7,27399,1249
tiverton,tiverton,taxi,20,0,0
tiverton,tiverton,driving,1979,0,0
tiverton,tiverton,passenger,251,0,0
wellington,exeter,taxi,0,42853,2036
wellington,exeter,driving,180,42853,2036
wellington,exeter,passenger,11,42853,2036
taunton,exeter,taxi,0,55603,2806
taunton,exeter,driving,323,55603,2806
taunton,exeter,passenger,20,55603,2806
bridgwater,highbridge_and_burnham,taxi,1,16116,1017
bridgwater,highbridge_and_burnham,driving,237,16116,1017
bridgwater,highbridge_and_burnham,passenger,49,16116,1017
highbridge_and_burnham,bridgwater,taxi,0,17001,1087
highbridge_and_burnham,bridgwater,driving,391,17001,1087
highbridge_and_burnham,bridgwater,passenger,38,17001,1087
tiverton,weston-super-mare,taxi,0,81983,3366
tiverton,weston-super-mare,driving,3,81983,3366
tiverton,weston-super-mare,passenger,2,81983,3366
weston-super-mare,exeter,taxi,0,99333,4294
weston-super-mare,exeter,driving,21,99333,4294
weston-super-mare,exeter,passenger,0,99333,4294
bridgwater,taunton,taxi,1,19257,1499
bridgwater,taunton,driving,730,19257,1499
bridgwater,taunton,passenger,74,19257,1499
cullompton,bridgwater,taxi,0,46517,2249
cullompton,bridgwater,driving,8,46517,2249
cullompton,bridgwater,passenger,0,46517,2249
cullompton,highbridge_and_burnham,taxi,0,61426,2485
cullompton,highbridge_and_burnham,driving,5,61426,2485
cullompton,highbridge_and_burnham,passenger,0,61426,2485
taunton,bridgwater,taxi,0,18711,1410
taunton,bridgwater,driving,560,18711,1410
taunton,bridgwater,passenger,19,18711,1410
bridgwater,cullompton,taxi,0,46790,2290
bridgwater,cullompton,driving,1,46790,2290
bridgwater,cullompton,passenger,0,46790,2290
highbridge_and_burnham,cullompton,taxi,0,62202,2533
highbridge_and_burnham,cullompton,driving,5,62202,2533
highbridge_and_burnham,cullompton,passenger,0,62202,2533
taunton,weston-super-mare,taxi,0,51064,2410
taunton,weston-super-mare,driving,94,51064,2410
taunton,weston-super-mare,passenger,5,51064,2410
cullompton,taunton,taxi,0,35547,1825
cullompton,taunton,driving,65,35547,1825
cullompton,taunton,passenger,3,35547,1825
wellington,bridgwater,taxi,0,27900,1472
wellington,bridgwater,driving,112,27900,1472
wellington,bridgwater,passenger,6,27900,1472
tiverton,taunton,taxi,0,38660,1942
tiverton,taunton,driving,211,38660,1942
tiverton,taunton,passenger,5,38660,1942
cullompton,exeter,taxi,1,21424,1397
cullompton,exeter,driving,689,21424,1397
cullompton,exeter,passenger,55,21424,1397
taunton,wellington,taxi,2,9924,927
taunton,wellington,driving,927,9924,927
taunton,wellington,passenger,99,9924,927
wellington,weston-super-mare,taxi,0,60253,2472
wellington,weston-super-mare,driving,13,60253,2472
wellington,weston-super-mare,passenger,1,60253,2472
exeter,wellington,taxi,0,42485,1981
exeter,wellington,driving,56,42485,1981
exeter,wellington,passenger,9,42485,1981
highbridge_and_burnham,wellington,taxi,0,43685,1780
highbridge_and_burnham,wellington,driving,10,43685,1780
highbridge_and_burnham,wellington,passenger,1,43685,1780
taunton,highbridge_and_burnham,taxi,0,33620,1646
taunton,highbridge_and_burnham,driving,94,33620,1646
taunton,highbridge_and_burnham,passenger,1,33620,1646
tiverton,exeter,taxi,3,23553,1874
tiverton,exeter,driving,801,23553,1874
tiverton,exeter,passenger,72,23553,1874
tiverton,bridgwater,taxi,0,49630,2366
tiverton,bridgwater,driving,17,49630,2366
tiverton,bridgwater,passenger,2,49630,2366
bridgwater,weston-super-mare,taxi,0,33560,1782
bridgwater,weston-super-mare,driving,101,33560,1782
bridgwater,weston-super-mare,passenger,8,33560,1782
weston-super-mare,bristol,taxi,5,36031,2487
weston-super-mare,bristol,driving,1909,36031,2487
weston-super-mare,bristol,passenger,128,36031,2487
taunton,tiverton,taxi,0,40150,2020
taunton,tiverton,driving,70,40150,2020
taunton,tiverton,passenger,3,40150,2020
exeter,cullompton,taxi,0,21158,1308
exeter,cullompton,driving,168,21158,1308
exeter,cullompton,passenger,8,21158,1308
highbridge_and_burnham,weston-super-mare,taxi,0,17616,1298
highbridge_and_burnham,weston-super-mare,driving,334,17616,1298
highbridge_and_burnham,weston-super-mare,passenger,17,17616,1298
bristol,highbridge_and_burnham,taxi,0,65023,2611
bristol,highbridge_and_burnham,driving,49,65023,2611
bristol,highbridge_and_burnham,passenger,4,65023,2611
exeter,highbridge_and_burnham,taxi,0,81254,3403
exeter,highbridge_and_burnham,driving,4,81254,3403
exeter,highbridge_and_burnham,passenger,1,81254,3403
exeter,bridgwater,taxi,0,66345,3168
exeter,bridgwater,driving,34,66345,3168
exeter,bridgwater,passenger,2,66345,3168
weston-super-mare,cullompton,taxi,0,79448,3332
weston-super-mare,cullompton,driving,2,79448,3332
weston-super-mare,cullompton,passenger,0,79448,3332
taunton,cullompton,taxi,0,35718,1844
taunton,cullompton,driving,17,35718,1844
taunton,cullompton,passenger,0,35718,1844
bridgwater,wellington,taxi,0,28273,1537
bridgwater,wellington,driving,65,28273,1537
bridgwater,wellington,passenger,1,28273,1537
highbridge_and_burnham,bristol,taxi,0,48817,2741
highbridge_and_burnham,bristol,driving,212,48817,2741
highbridge_and_burnham,bristol,passenger,12,48817,2741
bristol,cullompton,taxi,0,119974,4609
bristol,cullompton,driving,2,119974,4609
bristol,cullompton,passenger,0,119974,4609
weston-super-mare,wellington,taxi,0,60931,2580
weston-super-mare,wellington,driving,11,60931,2580
weston-super-mare,wellington,passenger,1,60931,2580
cullompton,weston-super-mare,taxi,0,78870,3249
cullompton,weston-super-mare,driving,1,78870,3249
cullompton,weston-super-mare,passenger,0,78870,3249
highbridge_and_burnham,tiverton,taxi,0,66633,2708
highbridge_and_burnham,tiverton,driving,0,66633,2708
highbridge_and_burnham,tiverton,passenger,1,66633,2708
bridgwater,tiverton,taxi,0,51222,2465
bridgwater,tiverton,driving,4,51222,2465
bridgwater,tiverton,passenger,0,51222,2465
tiverton,highbridge_and_burnham,taxi,0,64539,2602
tiverton,highbridge_and_burnham,driving,1,64539,2602
tiverton,highbridge_and_burnham,passenger,0,64539,2602
weston-super-mare,bridgwater,taxi,4,34247,1886
weston-super-mare,bridgwater,driving,178,34247,1886
weston-super-mare,bridgwater,passenger,6,34247,1886
highbridge_and_burnham,highbridge_and_burnham,taxi,1,0,0
highbridge_and_burnham,highbridge_and_burnham,driving,1000,0,0
highbridge_and_burnham,highbridge_and_burnham,passenger,148,0,0
exeter,weston-super-mare,taxi,0,98698,4168
exeter,weston-super-mare,driving,6,98698,4168
exeter,weston-super-mare,passenger,1,98698,4168
exeter,taunton,taxi,0,55375,2743
exeter,taunton,driving,200,55375,2743
exeter,taunton,passenger,12,55375,2743
taunton,bristol,taxi,0,76113,3909
taunton,bristol,driving,129,76113,3909
taunton,bristol,passenger,9,76113,3909
weston-super-mare,taunton,taxi,0,51915,2541
weston-super-mare,taunton,driving,173,51915,2541
weston-super-mare,taunton,passenger,4,51915,2541
wellington,cullompton,taxi,0,22968,1074
wellington,cullompton,driving,35,22968,1074
wellington,cullompton,passenger,0,22968,1074
wellington,bristol,taxi,0,85302,3970
wellington,bristol,driving,32,85302,3970
wellington,bristol,passenger,1,85302,3970
bridgwater,exeter,taxi,0,66675,3252
bridgwater,exeter,driving,31,66675,3252
bridgwater,exeter,passenger,4,66675,3252
bristol,tiverton,taxi,0,124406,4784
bristol,tiverton,driving,6,124406,4784
bristol,tiverton,passenger,0,124406,4784
bristol,bridgwater,taxi,0,74774,3162
bristol,bridgwater,driving,86,74774,3162
bristol,bridgwater,passenger,1,74774,3162
bristol,taunton,taxi,0,92442,3818
bristol,taunton,driving,169,92442,3818
bristol,taunton,passenger,3,92442,3818
cullompton,bristol,taxi,0,103919,4747
cullompton,bristol,driving,9,103919,4747
cullompton,bristol,passenger,1,103919,4747
bristol,wellington,taxi,0,101458,3856
bristol,wellington,driving,16,101458,3856
bristol,wellington,passenger,0,101458,3856
bristol,weston-super-mare,taxi,0,52026,2339
bristol,weston-super-mare,driving,563,52026,2339
bristol,weston-super-mare,passenger,18,52026,2339
tiverton,bristol,taxi,0,107032,4865
tiverton,bristol,driving,16,107032,4865
tiverton,bristol,passenger,1,107032,4865
bridgwater,bristol,taxi,0,58609,3280
bridgwater,bristol,driving,74,58609,3280
bridgwater,bristol,passenger,4,58609,3280
exeter,bristol,taxi,0,123747,5666
exeter,bristol,driving,57,123747,5666
exeter,bristol,passenger,1,123747,5666
bristol,exeter,taxi,0,139859,5570
bristol,exeter,driving,67,139859,5570
bristol,exeter,passenger,2,139859,5570
bridgwater,bridgwater,train,6,0,0
taunton,taunton,train,40,0,0
tiverton,tiverton,train,0,0,0
weston-super-mare,weston-super-mare,train,49,0,0
exeter,exeter,train,480,0,0
highbridge_and_burnham,highbridge_and_burnham,train,3,0,0
cullompton,cullompton,train,0,0,0
wellington,wellington,train,3,0,0
bristol,bristol,train,975,0,0
wellington,cullompton,train,0,23983,1906
bridgwater,highbridge_and_burnham,train,16,13709,3316
bridgwater,weston-super-mare,train,6,26882,3088
highbridge_and_burnham,weston-super-mare,train,10,18210,3858
weston-super-mare,highbridge_and_burnham,train,8,18163,3848
wellington,tiverton,train,0,25619,3219
highbridge_and_burnham,bridgwater,train,6,13707,3332
taunton,bridgwater,train,18,20242,1990
taunton,highbridge_and_burnham,train,2,31819,3584
taunton,tiverton,train,0,33901,3968
weston-super-mare,bridgwater,train,12,26833,3094
cullompton,wellington,train,0,24122,1962
highbridge_and_burnham,tiverton,train,1,64426,9506
tiverton,taunton,train,6,33724,4255
wellington,taunton,train,4,11505,2440
wellington,bridgwater,train,1,29736,4638
highbridge_and_burnham,taunton,train,10,31884,3728
tiverton,cullompton,train,0,28332,4089
bridgwater,taunton,train,15,20309,2118
wellington,highbridge_and_burnham,train,0,42761,6369
wellington,exeter,train,2,44443,4814
tiverton,bridgwater,train,0,52734,7257
tiverton,exeter,train,1,25621,3449
bridgwater,wellington,train,0,31236,5372
taunton,exeter,train,53,53188,4170
tiverton,highbridge_and_burnham,train,0,64311,8851
tiverton,bristol,train,7,106947,7304
tiverton,weston-super-mare,train,0,77437,8552
cullompton,taunton,train,0,35804,3844
weston-super-mare,taunton,train,26,45010,3490
cullompton,tiverton,train,0,27919,3883
cullompton,exeter,train,2,21428,3687
bridgwater,cullompton,train,0,92057,10487
cullompton,bridgwater,train,1,52991,5851
bridgwater,tiverton,train,0,52851,7896
cullompton,highbridge_and_burnham,train,0,104629,9669
weston-super-mare,wellington,train,0,56539,8689
taunton,weston-super-mare,train,13,44992,3356
wellington,weston-super-mare,train,0,55887,6070
weston-super-mare,exeter,train,4,96839,7790
highbridge_and_burnham,wellington,train,0,43413,8927
weston-super-mare,bristol,train,468,33995,4472
bridgwater,bristol,train,9,58049,5249
wellington,bristol,train,14,85417,8422
bridgwater,exeter,train,3,72138,6418
highbridge_and_burnham,exeter,train,1,83713,8028
cullompton,weston-super-mare,train,0,117755,9370
weston-super-mare,cullompton,train,0,116758,11859
highbridge_and_burnham,cullompton,train,0,103632,12097
taunton,bristol,train,129,76159,5517
tiverton,wellington,train,0,69856,7512
bristol,taunton,train,49,74405,4005
taunton,cullompton,train,1,0,0
exeter,cullompton,train,0,21296,2572
taunton,wellington,train,1,11922,2406
cullompton,bristol,train,1,109716,9826
weston-super-mare,tiverton,train,0,77552,9268
highbridge_and_burnham,bristol,train,25,49377,6019
exeter,weston-super-mare,train,0,96431,6743
exeter,tiverton,train,1,25781,3436
exeter,bridgwater,train,1,71728,5448
bristol,cullompton,train,0,146143,11054
bristol,wellington,train,0,89052,9883
